# Stability boundary coordinates (det = 0)
# Columns: C11   C22   C12   x   y
  0.61945081   2.35299988  -0.67643749  -0.34744876  -0.27115167
  0.63631247   2.33613821  -0.69750547  -0.34259404  -0.27828269
  0.63631247   2.33613821  -0.69750547  -0.34124421  -0.28005189
  0.63631247   2.33613821  -0.69750547  -0.34009575  -0.28153823
  0.65368609   2.31876459  -0.71815330  -0.33695259  -0.28636677
  0.65368609   2.31876459  -0.71815330  -0.33512670  -0.28908228
  0.65368609   2.31876459  -0.71815330  -0.33424791  -0.29042648
  0.67156120   2.30088948  -0.73836854  -0.32883693  -0.29804042
  0.69019243   2.30439693  -0.76842522  -0.32441401  -0.30477617
  0.69019243   2.30439693  -0.76842522  -0.32267120  -0.30720852
  0.69019243   2.30439693  -0.76842522  -0.32033478  -0.31062988
  0.70929361   2.28529575  -0.78800107  -0.31757120  -0.31456329
  0.70929361   2.28529575  -0.78800107  -0.31644339  -0.31644339
  0.70988563   2.30714186  -0.79862811  -0.31332247  -0.32064883
  0.72972548   2.28730202  -0.81798690  -0.31027100  -0.32588782
  0.72972548   2.28730202  -0.81798690  -0.30956378  -0.32691501
  0.75003444   2.26699306  -0.83685296  -0.30581258  -0.33212786
  0.75123571   2.28853163  -0.84807234  -0.30393048  -0.33533561
  0.75123571   2.28853163  -0.84807234  -0.30221052  -0.33767943
  0.77227995   2.26748739  -0.86668048  -0.30048953  -0.34056979
  0.77227995   2.26748739  -0.86668048  -0.29765081  -0.34506001
  0.79561792   2.26719324  -0.89655986  -0.29301435  -0.35219680
  2.26719324   0.79561792  -0.89655986   0.29301435  -0.35219680
  2.26748739   0.77227995  -0.86668048   0.29765081  -0.34506001
  2.26748739   0.77227995  -0.86668048   0.30048953  -0.34056979
  2.28853163   0.75123571  -0.84807234   0.30221052  -0.33767943
  2.28853163   0.75123571  -0.84807234   0.30393048  -0.33533561
  2.26699306   0.75003444  -0.83685296   0.30581258  -0.33212786
  2.28730202   0.72972548  -0.81798690   0.30956378  -0.32691501
  2.28730202   0.72972548  -0.81798690   0.31027100  -0.32588782
  2.30714186   0.70988563  -0.79862811   0.31332247  -0.32064883
  2.28529575   0.70929361  -0.78800107   0.31644339  -0.31644339
